species,micro,SVL
ahli,1,61.7
alayoni,5,46.8
alfaroi,0,36
aliniger,3,57
allisoni,3,75
allogus,1,62.8
altitudinalis,3,52
alumina,0,40
alutaceus,0,37
angusticeps,5,44.8
armouri,1,67
bahorucoensis,0,51
baleatus,4,180
baracoae,4,172
barahonae,4,160
bremeri,1,72
breslini,1,61.5
brevirostris,2,50
caudalis,2,48
chlorocyanus,3,76
clivicola,0,49
coelestinus,3,84
confusus,1,53
cooki,1,70
cristatellus,1,75
cupeyalensis,0,33
cuvieri,4,122
cyanopleurus,0,43
cybotes,1,77
darlingtoni,5,72
distichus,2,58
dolichocephalus,0,52
equestris,4,188
evermanni,3,70
garmani,4,131
garridoi,5,41.8
grahami,3,75
guafe,1,48.8
guazuma,5,48.5
gundlachi,1,68
haetianus,1,75
hendersoni,0,49
homolechis,1,70
imias,1,65
inexpectatus,0,37
insolitus,5,47
isolepis,3,52
jubar,1,62
krugi,0,45
lineatopus,1,70
longitibialis,1,72
loysiana,2,40
luteogularis,4,191
macilentus,0,41
marcanoi,1,57
marron,2,50
mestrei,1,56
noblei,4,190
occultus,5,42
olssoni,0,50
opalinus,3,53
ophiolepis,0,35
oporinus,3,47
paternus,5,50
placidus,5,46
poncensis,0,44
porcatus,3,73
pulchellus,0,47
quadriocellifer,1,55
rejectus,0,37
ricordii,4,160
rubribarbus,1,58
sagrei,1,70
semilineatus,0,40
sheplani,5,41
shrevei,1,60
singularis,3,45
smallwoodi,4,190
strahmi,1,79
stratulus,3,44
tranquillus,5,45
valencienni,5,80
vanidicus,0,39
websteri,2,51
whitemani,1,67
