NAME,SVL,WEIGHT,FORELEG,HINDLEG,GOODTAIL,LAMELLAE
acutus,62.11577609,5.073343157,27.74345621,44.34500165,120.7835378,22.98863584
aeneus,70.10541235,8.223533641,29.51799272,44.47823641,127.8681941,22.98863584
ahli,57.643,4.843,27.643,46.786,91,15.143
aliniger,55.9,4.69,23.7,34.8,92.25,22.5
allisoni,77.3,9.77,28.8,45.3,160.667,30
allogus,54.75,4.375,26.313,44.25,86.429,15.625
alutaceu,35.333,0.633,12.667,27.083,92,17.167
angustic,41.5,1.225,13.625,20.875,55,17.25
argenteo,52.6,2.45,26.4,42.85,108.9,23.4
bahoruco,43.933,1.667,17.933,36.2,111.444,19.5
barahona,156.333,80.833,67.667,105.333,275,31
C_barbouri,38.75,1.33,16.8,28.35,87.1,10.66666667
bartschi,73.417,8.7,36.25,61.167,153,26.833
bimacula,87.97036532,19.4919196,39.92489244,64.0074831,159.3335813,32.52470648
breviros,47,2.7,23,35,65,18.2
brunnneu,68.4,6.18,25.15,40.75,133.5,24.38577572
centrali,36.125,0.975,14,20.25,75,15.8
chlorocy,68.667,6.861,28.222,43.889,133.833,27
christop,46.615,2.246,24.769,38.769,84.6,17.7
coelesti,71.667,9.25,30.333,47.667,128,27.9
conspers,68.92369341,9.234994333,31.0624595,50.45087043,126.5958843,27.27580376
cristate,63.8,8.131,32.114,53.771,114.6,19.6
cuvieri,133.5,47.6,61.1,100.6,284.5,30
cybotes,66.933,9.333,32.2,54.8,124.4,17.7
distichu,51.267,3.913,25.933,38.333,71.5,17.6
equestri,156,76.333,64.833,98.5,301,42.333
evermann,62.286,5.684,30.857,47.893,109.6,25.8
ferreus,91.83559798,20.32801533,42.69150695,67.15477299,154.3156222,29.84448304
garmani,107.9,30.148,47.4,78.8,216.7,28.4
grahami,61.071,6.211,28.385,45.429,108.3,25.9
griseus,106.591098,27.88252086,49.7992538,86.05615085,235.5680897,28.78919088
gundlach,65.114,7.05,33.206,57.647,122.2,17.5
homolech,56.8,5.58,26.1,41.7,86.6,17
insolitu,41.8,1,13.2,23.4,53.2,15
isolepis,39,1.2,14.5,19.5,48,20
jubar,55.64285714,4.628571429,25.07142857,40.07142857,90,17
krugi,48.6,2.355,21.12,38.88,128.3,19.5
leachi,89.2106119,19.20172272,39.72576621,63.8157484,157.7481857,31.72166862
lineatop,56.545,4.657,26.714,46.048,107.6,18.4
longicep,69.8,9.05,37.2,61,146.6,17.6
longitib,73.6997937,8.381274573,26.28504116,45.55862691,152.7801561,29.90423174
loysiana,40,1.2,17.75,24.75,51,17.5
luciae,73.92122506,9.015992997,32.88445323,51.8315999,134.96291,26.28504116
lucius,65.571,6.1,33.643,52.429,133.667,26.286
luteogul,183,112,72,112,331,40
marcanoi,55.563,4.957,27.688,46.188,113.25,20.313
maynardi,71.105,7.511,27.842,44.474,142.286,26.68228868
mestrei,51.643,3.629,25,41.071,87.8,17.5
monensis,54.48906286,3.75842505,26.07559971,42.30900722,99.48431564,20.30769747
noblei,165.5,81,67.5,107,319,46
occultus,37.7,0.5,10.7,17,43,18
olssoni,46.462,1.569,16.538,35.769,141.417,18.8
opalinus,47.786,2.115,22.286,34.071,78.7,21.2
ophiolep,38,1.2,14,24.111,89,15.333
paternus,47,2,16.5,26,84,19
pogus,42.521082,1.584073985,19.55048316,34.63968534,102.5140641,17.21876883
poncensi,43.875,1.638,17.188,31.188,112.1,17.1
porcatus,70,7.09,27.5,41.45,140.125,26.7
C_porcus,148.8333333,57.16666667,59.5,75.83333333,158,30.5
pulchell,43.567,1.459,17.567,32.533,113.2,17.8
pumilis,35.5,1,13.929,19.929,70.4,15.143
richardi,93.59715615,19.55048316,44.61187147,76.24867208,199.7367002,24.58164436
roquet,70.03534198,8.044591482,30.69193756,48.0864292,127.103282,26.12780309
sagrei,57,5.15,24.5,41.75,116,19
semiline,41.8,1.5,16,34.5,129,20.5
singular,46,2.2,18,27,77,23
strahmi,44.45,1.88,21.5,32.75,71.7,19
stratulu,74.333,11.333,39,65.333,141.5,21.333
trinitat,68.64854929,7.315533762,29.93415092,45.69550801,140.3304502,25.22914818
valencie,72.7,7.067,26,38.7,90.5,22.6
vanidicu,37.75,0.663,12.125,25.625,96.6,13.625
vermicul,119.25,36.938,49.75,90.125,194.75,30
wattsi,49.00880618,2.653819704,22.35388206,38.05376393,97.61195737,19.72723168
